id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1801,tunisieannonce_82feae374ea3,tunisieannonce,198365.0,409.0,,Borj Cedria,TUNIS,north,Sale,Land,2026-03-26T16:19:39.409971,new,,,90
1772,tunisieannonce_6ead0b19cddc,tunisieannonce,2100.0,110.0,1.0,Jardins De Carthage,TUNIS,north,Rent,Apartment,2026-03-26T16:19:53.351730,new,,,90
1780,tunisieannonce_75e4f1b73c61,tunisieannonce,1300.0,85.0,2.0,Sidi Daoud,TUNIS,north,Rent,Apartment,2026-03-26T16:20:03.556957,new,,,90
1830,tunisieannonce_9f56bc6336b5,tunisieannonce,1350.0,125.0,3.0,Sidi Daoud,TUNIS,north,Rent,Apartment,2026-03-26T16:20:12.945587,new,,,90
1945,tunisieannonce_ffc2540309b2,tunisieannonce,167000.0,257.0,,Borj Cedria,TUNIS,north,Sale,Land,2026-03-26T16:20:22.714780,new,,,90
1914,tunisieannonce_e32d2b29a308,tunisieannonce,4000.0,120.0,1.0,Jardins De Carthage,TUNIS,north,Rent,Apartment,2026-03-26T16:20:37.306075,new,,,90
1929,tunisieannonce_ee2531eeb12c,tunisieannonce,1400.0,65.0,3.0,Sidi Daoud,TUNIS,north,Rent,Apartment,2026-03-26T16:20:47.723254,new,,,90
1745,tunisieannonce_5f30655797c7,tunisieannonce,2500.0,90.0,1.0,Marsa Safsaf,TUNIS,north,Rent,Apartment,2026-03-26T16:20:57.860767,new,,,90
1878,tunisieannonce_bdabf3d1438b,tunisieannonce,700000.0,,4.0,El Hamayem,TUNIS,north,Sale,Land,2026-03-26T16:21:07.117462,new,,,85
1652,tunisieannonce_0f947c03a4fb,tunisieannonce,900.0,90.0,1.0,El Menzah 7,TUNIS,north,Rent,Apartment,2026-03-26T16:21:14.500930,new,,,90
1685,tunisieannonce_2c8c50023f98,tunisieannonce,900.0,90.0,3.0,Sidi Daoud,TUNIS,north,Rent,Apartment,2026-03-26T16:21:25.267480,new,,,90
1661,tunisieannonce_1692bf567567,tunisieannonce,1150.0,66.0,1.0,La Soukra,TUNIS,north,Rent,Apartment,2026-03-26T16:21:33.532230,new,,,90
1698,tunisieannonce_3c6dd4490686,tunisieannonce,170000.0,1000.0,,Sidi Thabet,TUNIS,north,Sale,Land,2026-03-26T16:21:43.599914,new,,,90
1854,tunisieannonce_b0fad9915891,tunisieannonce,320000.0,409.0,,Sidi Thabet,TUNIS,north,Sale,Land,2026-03-26T16:21:56.070545,new,,,90
1911,tunisieannonce_de25cf25f347,tunisieannonce,1150.0,69.0,1.0,Ain Zaghouan,TUNIS,north,Rent,Apartment,2026-03-26T16:22:04.559121,new,,,90
1746,tunisieannonce_5f3ce9f78a25,tunisieannonce,1750.0,80.0,1.0,Jardins De Carthage,TUNIS,north,Rent,Apartment,2026-03-26T16:22:13.577894,new,,,90
1813,tunisieannonce_8d7c8d60f747,tunisieannonce,1400.0,60.0,1.0,Jardins De Carthage,TUNIS,north,Rent,Apartment,2026-03-26T16:22:23.001049,new,,,90
1861,tunisieannonce_b2611112ecb7,tunisieannonce,300.0,150.0,4.0,Chatt Meriem,TUNIS,north,Rent,Villa,2026-03-26T16:22:32.846188,new,,,90
1897,tunisieannonce_d00b0538fade,tunisieannonce,1800.0,90.0,2.0,Cite Ennasr 1,TUNIS,north,Rent,Apartment,2026-03-26T16:23:13.546051,new,,,90
1809,tunisieannonce_8a0db430c52f,tunisieannonce,200.0,75.0,4.0,Chatt Meriem,TUNIS,north,Rent,Villa,2026-03-26T16:23:20.920908,new,,,90
1946,tunisieannonce_fc16c9b5817c,tunisieannonce,360000.0,300.0,2.0,Hammam Lif,TUNIS,north,Sale,Land,2026-03-26T16:23:35.056452,new,,,100
1875,tunisieannonce_bd7082879374,tunisieannonce,520000.0,374.0,,Ben Arous,TUNIS,north,Sale,Villa,2026-03-26T16:23:44.759491,new,,,90
1797,tunisieannonce_8093ec5f19ec,tunisieannonce,90000.0,300.0,,Cite Chebil,TUNIS,north,Sale,Land,2026-03-26T16:23:53.635154,new,,,90
1703,tunisieannonce_41061e733d81,tunisieannonce,3500.0,80.0,1.0,Gammart,TUNIS,north,Rent,Apartment,2026-03-26T16:24:02.043447,new,,,90
