id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
mubawab:mubawab_8106603,terrain,land,,TND,,,,2900.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:52:49.654725+00,2026-04-09 15:38:50.207562+00
mubawab:mubawab_8114014,maison,villa,,TND,,,,600.0,3.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:49:06.611487+00,2026-04-09 15:38:50.72765+00
mubawab:mubawab_8114326,maison,villa,,TND,,,,312.0,5.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:57:02.269675+00,2026-04-09 15:38:49.706593+00
mubawab:mubawab_8120904,maison,villa,,TND,,,,400.0,13.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:47:35.577533+00,2026-04-09 15:38:49.606064+00
mubawab:mubawab_8124657,appartement,apartment,,TND,,,,40.5,4.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:39:12.247086+00,2026-04-09 15:38:47.940705+00
mubawab:mubawab_8127940,appartement,apartment,,TND,,,,,4.0,,33.8439408,9.400138,10.0,DROP,False,2026-03-27 05:39:50.499674+00,2026-04-09 15:38:47.044851+00
mubawab:mubawab_8127986,terrain,land,,TND,,,,500.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:50:56.684016+00,2026-04-09 15:38:47.786088+00
mubawab:mubawab_8130938,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,102.0,3.0,,36.7667,10.1833,40.0,LOW,False,2026-03-29 05:40:41.641358+00,2026-04-09 15:38:50.311199+00
mubawab:mubawab_8130939,appartement,apartment,,TND,,Jebel Jelloud,TUNIS,130.0,1.0,,36.7667,10.1833,45.0,LOW,False,2026-04-06 08:59:41.139115+00,2026-04-09 15:38:47.514827+00
mubawab:mubawab_8130955,maison,villa,,TND,,,,360.0,9.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:49:43.244991+00,2026-04-09 15:38:50.466163+00
mubawab:mubawab_8134846,terrain,land,,TND,,,,250.0,,,33.8439408,9.400138,15.0,DROP,False,2026-03-27 12:51:40.916335+00,2026-04-09 15:38:50.408259+00
mubawab:mubawab_8149121,maison,villa,,TND,,,,1975.0,4.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:14:12.296139+00,2026-04-09 15:38:51.424488+00
mubawab:mubawab_8155025,maison,villa,,TND,,,,116.0,6.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 08:56:51.969893+00,2026-04-09 15:38:52.625636+00
mubawab:mubawab_8161889,maison,villa,,TND,,,,367.0,20.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-29 05:52:50.983495+00,2026-04-09 15:38:51.124504+00
mubawab:mubawab_8163675,maison,villa,,TND,,,,300.0,9.0,,,,15.0,DROP,False,2026-03-29 06:50:30.546942+00,2026-04-09 15:38:52.829026+00
mubawab:mubawab_8164140,terrain,land,,TND,,,,1004.0,1.0,,33.8439408,9.400138,25.0,LOW,False,2026-03-27 12:49:53.494567+00,2026-04-09 15:38:52.21888+00
